episode1,sum q_values,average q_values
1,-4227.588,-8.455174
2,-241.2641,-0.48252818
3,532.3241,1.0646482
4,92.9373,0.18587454
5,54.833496,0.10966701
6,-244.36545,-0.48873094
7,-1146.4707,-2.2929413
8,-915.0386,-1.8300772
9,-2404.1475,-4.808295
10,139.06146,0.2781229
11,-1.6730661,-0.0033461265
12,-778.6166,-1.5572331
13,-7114.1064,-14.228213
14,-4443.0996,-8.886198
15,-4527.402,-9.054804
16,-4650.644,-9.301288
17,-6305.228,-12.610459
18,-6185.2324,-12.370464
19,-4803.51,-9.607018
20,-4476.671,-8.9533415
21,-5628.5757,-11.257153
22,-4609.7812,-9.219562
23,-4518.375,-9.036751
24,-4689.918,-9.379835
25,-5321.8193,-10.643638
26,-5441.867,-10.883733
27,-4997.93,-9.99586
28,-4956.117,-9.912233
29,-4740.3154,-9.480632
30,-5276.993,-10.553986
31,-4729.6997,-9.459399
32,-5252.4053,-10.50481
33,-5019.1553,-10.038311
34,-5002.6816,-10.005363
35,-4912.834,-9.825668
36,-4797.0947,-9.59419
37,-4932.849,-9.865697
38,-5072.1,-10.144199
39,-5082.7295,-10.165461
40,-5251.3584,-10.502718
41,-4893.5127,-9.787026
42,-4984.0474,-9.968097
43,-4923.925,-9.847849
44,-4355.082,-8.710164
45,-4774.0005,-9.548004
46,-4723.586,-9.447172
47,-4868.5264,-9.737054
48,-4963.949,-9.9278965
49,-4384.987,-8.769973
50,-5286.9844,-10.573968
51,-4902.035,-9.80407
52,-4690.375,-9.38075
53,-4932.0195,-9.864039
54,-4425.108,-8.850217
55,-4886.5254,-9.773049
56,-4793.8203,-9.587641
57,-4583.699,-9.1673975
58,-4691.3467,-9.382693
59,-5164.731,-10.329462
60,-4934.5063,-9.869012
61,-4923.625,-9.847248
62,-4864.3,-9.7286
63,-5044.006,-10.088011
64,-4973.2114,-9.946423
65,-4879.369,-9.75874
66,-4867.992,-9.735985
67,-4552.788,-9.105577
68,-4147.704,-8.295407
69,-3999.3071,-7.998615
70,-4265.624,-8.531248
71,-4319.4395,-8.638879
72,-4325.935,-8.651871
73,-4321.4795,-8.642959
74,-4027.643,-8.055286
75,-4491.779,-8.983558
76,-4212.5903,-8.4251795
77,-4219.3936,-8.4387865
78,-4250.6143,-8.501228
79,-4296.993,-8.5939865
80,-4303.8286,-8.607657
81,-4420.0674,-8.840136
82,-3654.5981,-7.3091955
83,-3947.473,-7.894944
84,-3861.9817,-7.7239633
85,-3842.4692,-7.684938
86,-4012.9675,-8.025935
87,-3728.7734,-7.4575477
